品牌名稱,飲料名稱,熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克),,品牌名稱,飲料名稱 (規格),熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克),,品牌名稱,飲料名稱,熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克),,品牌名稱,飲料名稱,熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克),,品牌名稱,飲料名稱,熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克),,品牌名稱,飲料名稱,熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克),,品牌名稱,飲料名稱 (容量/冷熱),熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克)
全家 Let's Cafe,阿里山極選綜合美式（熱／中杯）,15,0,是,300,,路易莎,莊園級美式 (大/冰),23.2,0,是,333,,星巴克,冰覆盆莓風味可可燕麥那堤,595,82,是,230,,茶湯會,翡翠綠茶,181,42,是,201-500,,全家 Let's Tea,阿里山高冷烏龍 (熱/大杯),0,0,是,102,,City Cafe,蕉財進寶香蕉風味拿鐵(中杯/熱),295.7,31.3,是,149.8,,CITY TEA,喵財進寶提拉米蘇風味奶茶 (大杯/熱),316.7,39,是,118.6
全家 Let's Cafe,阿里山極選綜合美式（熱／大杯）,19,0,是,354,,路易莎,莊園級美式 (大/熱),23.2,0,是,333,,星巴克,覆盆莓風味可可燕麥那堤,660,87,是,230,,茶湯會,茉莉綠茶,181,42,是,101-200,,全家 Let's Tea,唐寧經典伯爵茶 (熱/大杯),6,0,是,76,,City Cafe,蕉財進寶香蕉風味拿鐵(大杯/冰),303.2,31.8,是,200.3,,CITY TEA,冰蘋果風味紅茶 (特大/冰),520.8,113.8,是,215.4
全家 Let's Cafe,阿里山極選綜合美式（冰／中杯）,12,0,是,209,,路易莎,莊園級拿鐵 (大/冰),381.5,54.4,是,333,,星巴克,冰覆盆莓風味可可杏仁那堤,367,51,是,230,,茶湯會,蔗香紅茶,181,42,是,101-200,,全家 Let's Tea,唐寧伯爵醇奶茶 (熱/大杯),173,12,是,114,,City Cafe,奶油爆米花風味拿鐵(大杯/冰),450.1,52.7,是,242.3,,CITY TEA,文旦肉肉青茶 (特大/冰),353.7,76.6,是,111.4
全家 Let's Cafe,阿里山極選綜合美式（冰／大杯）,16,0,是,301,,路易莎,莊園級拿鐵 (大/熱),290,33.6,是,333,,星巴克,覆盆莓風味可可杏仁那堤,378,53,是,230,,茶湯會,碧螺春,181,42,是,101-200,,全家 Let's Tea,仙女紅茶 (熱/大杯),134,32,是,76,,City Cafe,奶油爆米花風味拿鐵(大杯/熱),487.7,53.4,是,210.8,,CITY TEA,紫桑果粒小葉紅茶 (特大/冰),284.9,68.7,是,163.5
全家 Let's Cafe,阿里山極選綜合拿鐵（熱／中杯）,211,15,是,194,,路易莎,莊園級拿鐵 (燕麥奶) (大/冰),353,48.7,是,333,,星巴克,粉紅草莓風味星冰樂,853,128,否,0,,茶湯會,鐵觀音,181,42,是,101-200,,全家 Let's Tea,仙女紅茶 (冰/大杯),132,29,是,76,,City Cafe,香草焦糖風味瑪奇朵(中杯/熱),329.6,40.6,是,195.7,,CITY TEA,紫桑果粒梔子花青茶 (特大/冰),277.3,69.2,是,129.5
全家 Let's Cafe,阿里山極選綜合拿鐵（熱／大杯）,261,19,是,243,,路易莎,莊園級拿鐵 (燕麥奶) (大/熱),263.1,28.2,是,333,,星巴克,冰草莓風味抹茶那堤,465,52,是,216,,茶湯會,素胚皮丘 (純茶),181,42,是,101-200,,全家 Let's Tea,仙女醇奶茶 (熱/大杯),278,43,是,76,,City Cafe,香草焦糖風味瑪奇朵(大杯/冰),331.1,40.9,是,269.2,,CITY TEA,梔子花青茶 (大杯/熱),182.6,41.5,是,105.2
全家 Let's Cafe,阿里山極選綜合拿鐵（冰／中杯）,108,8,是,117,,路易莎,莊園級輕拿鐵 (大/冰),198.7,33,是,333,,星巴克,草莓風味抹茶那堤,530,58,是,195,,茶湯會,翡翠奶茶,549,45,是,201-500,,全家 Let's Tea,仙女醇奶茶 (冰/大杯),214,33,是,76,,City Cafe,黃金榛果太妃風味拿鐵(中杯/熱),304.2,33.8,是,205.6,,CITY TEA,梔子花青茶 (特大/冰),184.1,42.8,是,129.6
全家 Let's Cafe,阿里山極選綜合拿鐵（冰／大杯）,183,13,是,179,,路易莎,莊園級輕拿鐵 (大/熱),140.8,18.5,是,333,,星巴克,奶香烤舒芙蕾風味那堤,653,75,是,196,,茶湯會,茉莉奶茶,549,45,是,101-200,,全家 Let's Tea,四季春青茶 (熱/大杯),0,0,是,92,,City Cafe,黃金榛果太妃風味拿鐵(大杯/冰),312.2,33.9,是,298.3,,CITY TEA,琥珀小葉紅茶 (大杯/熱),180.2,42.6,是,199
全家 Let's Cafe,經典美式（熱／小杯）,7,0,是,108,,路易莎,輕奶拿鐵 (大/冰),198.7,33,是,381,,星巴克,冰奶香烤舒芙蕾風味那堤,560,65,是,196,,茶湯會,蔗香奶茶,549,45,是,101-200,,全家 Let's Tea,厚濃靜岡抹茶拿鐵 (熱/大杯),329,45,是,128,,City Cafe,文旦肉肉美式咖啡(特大/冰),320.6,73.2,是,185.2,,CITY TEA,琥珀小葉紅茶 (特大/冰),191.6,35,是,221.6
全家 Let's Cafe,經典美式（熱／中杯）,11,0,是,168,,路易莎,輕奶拿鐵 (大/熱),142.6,18.5,是,381,,星巴克,維也納風香醇那堤,886,89,是,196,,茶湯會,碧螺春奶茶,549,45,是,101-200,,全家 Let's Tea,厚濃靜岡抹茶拿鐵 (冰/大杯),301,45,是,127,,City Cafe,特選美式咖啡(大杯/熱),18.9,0,是,303.1,,CITY TEA,梔子花奶青 (大杯/熱),330.1,53.6,是,137.4
全家 Let's Cafe,經典美式（熱／大杯）,15,0,是,241,,路易莎,咖啡拿鐵 (大/冰),381.8,54.4,是,381,,星巴克,冰維也納風香醇那堤,769,79,是,196,,茶湯會,鐵觀音奶茶,549,45,是,101-200,,全家 Let's Tea,焙茶拿鐵 (熱/大杯),441,50,是,154,,City Cafe,特選美式咖啡(大杯/冰),17.5,0,是,314.5,,CITY TEA,梔子花奶青 (特大/冰),307.9,50.8,是,153.6
全家 Let's Cafe,經典美式（熱／特大杯）,19,0,是,267,,路易莎,咖啡拿鐵 (大/熱),290.2,33.6,是,381,,星巴克,維也納風抹茶那堤,751,63,是,169,,茶湯會,翡翠拿鐵,290,44,是,201-500,,全家 Let's Tea,焙茶拿鐵 (冰/大杯),394,44,是,159,,City Cafe,特選拿鐵咖啡(大杯/熱),247.3,17.2,是,248.6,,CITY TEA,琥珀小葉奶茶 (大杯/熱),327.8,50.9,是,184.7
全家 Let's Cafe,經典美式（冰／中杯）,10,0,是,163,,路易莎,燕麥拿鐵 (大/冰),353.3,48.7,是,381,,星巴克,冰維也納風抹茶那堤,605,51,是,169,,茶湯會,茉莉拿鐵,290,44,是,101-200,,全家 Let's Tea,好喝奶茶 (冰/特大杯),489,66,是,152,,City Cafe,特選拿鐵咖啡(大杯/冰),191.6,12.6,是,235.8,,CITY TEA,琥珀小葉奶茶 (特大/冰),322.4,53.4,是,214.1
全家 Let's Cafe,經典美式（冰／大杯）,16,0,是,243,,路易莎,燕麥拿鐵 (大/熱),263.4,28.2,是,381,,星巴克,濃萃義式厚那堤,599,55,是,262,,茶湯會,蔗香拿鐵,290,44,是,101-200,,全家 Let's Tea,芝麻糊糊 (熱/大杯),480,39,否,0,,City Cafe,厚乳拿鐵(大杯/熱),290.6,20.1,是,162.1,,CITY TEA,莓好果粒冰茶 (特大/冰),338.3,73.9,是,142.4
全家 Let's Cafe,經典美式（冰／特大杯）,20,0,是,296,,路易莎,卡布奇諾 (大/冰),266.1,46,是,381,,星巴克,冰濃萃義式厚那堤,586,48,是,262,,茶湯會,碧螺春拿鐵,290,44,是,101-200,,全家 Let's Tea,燒燒仙草 (熱/大杯),288,42,否,0,,City Cafe,厚乳拿鐵(特大/熱),396.4,27.8,是,207.2,,CITY TEA,香鑽水果茶 (大杯/熱),352.3,72.8,是,164.4
全家 Let's Cafe,特濃美式（熱／大杯）,19,0,是,274,,路易莎,卡布奇諾 (大/熱),270.4,32.1,是,381,,星巴克,冰黑櫻桃風味抹茶豆奶那堤,488,71,是,198,,茶湯會,鐵觀音拿鐵,290,44,是,101-200,,全家 Let's Tea,香蕉火龍果牛奶 (冰/特大杯),385,65,否,0,,City Cafe,厚乳拿鐵(大杯/冰),202.3,13.5,是,139.3,,CITY TEA,香鑽水果茶 (特大/冰),375.4,79.1,是,164.9
全家 Let's Cafe,特濃美式（熱／特大杯）,19,0,是,311,,路易莎,卡布奇諾 (燕麥奶) (大/冰),246.4,27.3,是,381,,星巴克,黑櫻桃風味抹茶豆奶那堤,585,74,是,198,,茶湯會,珍珠奶茶,702,52,是,101-200,,全家 Let's Tea,百香QQ綠 (冰/特大杯),416,85,是,85,,City Cafe,厚乳拿鐵(特大/冰),287.9,21,是,165.2,,CITY TEA,冰淇淋紅茶 (特大/冰),439.5,68.1,是,211.9
全家 Let's Cafe,特濃美式（冰／大杯）,14,0,是,238,,路易莎,卡布奇諾 (燕麥奶) (大/熱),246.4,27.3,是,381,,星巴克,冰黑櫻桃風味瑪奇朵,657,89,是,195,,茶湯會,珍珠拿鐵,442,51,是,101-200,,全家 Let's Tea,冬瓜QQ撞奶 (冰/特大杯),486,63,否,0,,City Cafe,濃萃美式咖啡(大杯/熱),25.1,0,是,401.4,,CITY TEA,青梅冰茶 (特大/冰),428.2,86,是,161
全家 Let's Cafe,特濃美式（冰／特大杯）,21,0,是,308,,路易莎,焦糖風味拿鐵 (大/冰),351.5,46.6,是,381,,星巴克,黑櫻桃風味瑪奇朵,657,89,是,195,,茶湯會,觀音韻拿鐵 (珍珠),442,51,是,101-200,,全家 Let's Tea,紅心芭樂牛奶 (冰/特大杯),432,69,否,0,,City Cafe,濃萃美式咖啡(特大/熱),31.5,0,是,551.8,,CITY TEA,一顆檸檬青茶 (特大/冰),361.9,65.6,是,184.7
全家 Let's Cafe,卡布奇諾（熱／大杯）,139,9,是,169,,路易莎,焦糖風味拿鐵 (大/熱),261.2,25.9,是,381,,星巴克,冰太妃核果風味那堤,505,61,是,195,,茶湯會,珍珠紅豆拿鐵,496,63,是,101-200,,全家 Let's Tea,好喝蕎麥奶茶 (冰/特大杯),256,32,否,0,,City Cafe,濃萃美式咖啡(大杯/冰),23.7,0,是,389.8,,CITY TEA,一顆檸檬紅茶 (特大/冰),357.9,70.8,是,153.5
全家 Let's Cafe,經典冰磚拿鐵（冰／大杯）,214,20,是,167,,路易莎,榛果風味拿鐵 (大/冰),352.2,46.6,是,381,,星巴克,太妃核果風味那堤,607,74,是,195,,茶湯會,珍珠燕麥拿鐵,487,56,是,101-200,,全家 Let's Tea,卡曼橘青茶 (冰/特大杯),238,55,是,92,,City Cafe,濃萃美式咖啡(特大/冰),31.7,0,是,591.4,,CITY TEA,香草奶蓋,163.3,10.1,否,0
全家 Let's Cafe,卡曼橘美式（冰／特大杯）,200,42,是,239,,路易莎,榛果風味拿鐵 (大/熱),261.9,25.9,是,381,,星巴克,冰薄荷風味摩卡,655,99,是,239,,茶湯會,翡翠檸檬,292,68,是,201-500,,全家 Let's Tea,荔枝貴妃紅茶 (冰/特大杯),253,55,是,204,,City Cafe,濃萃拿鐵咖啡(大杯/熱),244.8,16.4,是,319,,CITY TEA,原味黑珍珠,285.6,30,否,0
全家 Let's Cafe,經典拿鐵（熱／小杯）,124,8,是,61,,路易莎,香草風味拿鐵 (大/冰),350.8,46.5,是,381,,星巴克,薄荷風味摩卡,769,112,是,239,,茶湯會,鮮桔檸檬,292,68,否,0,,全家 Let's Tea,柳橙香柚綠茶 (冰/特大杯),298,70,是,218,,City Cafe,濃萃拿鐵咖啡(特大/熱),313.7,23.7,是,383.6,,CITY PEARL,椰香芋見西米露 (大杯/熱),367.4,38.7,否,0
全家 Let's Cafe,經典拿鐵（熱／中杯）,172,11,是,127,,路易莎,香草風味拿鐵 (大/熱),260.5,25.7,是,381,,星巴克,脆糖紫紅薯燕麥瑪奇朵,422,58,是,150,,茶湯會,葡萄柚綠茶,227,49,是,201-500,,全家 Let's Tea,桃粿仙女紅茶 (冰/特大杯),353,69,是,67,,City Cafe,濃萃拿鐵咖啡(大杯/冰),186,11.4,是,324.6,,CITY PEARL,黑金燒仙草 (大杯/熱),306.2,29.9,否,0
全家 Let's Cafe,經典拿鐵（熱／大杯）,222,13,是,152,,路易莎,橘皮風味拿鐵 (大/冰),359.4,48.8,是,381,,星巴克,那堤,325,26,是,182,,茶湯會,冬瓜茶,192,48,否,0,,全家 Let's Tea,夏芒粉角青茶 (冰/特大杯),437,84,是,80,,City Cafe,濃萃拿鐵咖啡(特大/冰),220.5,15.2,是,381,,CITY PEARL,杏仁豆腐冰沙 (大杯/冰),436.9,37.2,否,0
全家 Let's Cafe,經典拿鐵（熱／特大杯）,276,17,是,195,,路易莎,橘皮風味拿鐵 (大/熱),296.1,28.1,是,381,,星巴克,美式咖啡,30,0.2,是,382,,茶湯會,冬瓜檸檬,211,52,否,0,,全家 Let's Tea,芒樂檸檬綠 (冰/特大杯),307,77,是,80,,City Cafe,美式咖啡(中杯/熱),12.9,0,是,245,,CITY PEARL,黑糖粉粿剉冰 (大杯/冰),332.6,70.9,否,0
全家 Let's Cafe,經典拿鐵（冰／中杯）,97,7,是,61,,路易莎,黑糖風味拿鐵 (大/冰),378.2,51.2,是,381,,星巴克,焦糖瑪奇朵,475,62,是,182,,茶湯會,冬瓜鐵觀音,186,45,是,101-200,,全家 Let's Tea,蘋果芒芒綠 (冰/特大杯),294,62,是,80,,City Cafe,美式咖啡(大杯/熱),16.8,0,是,317.4,,CITY PEARL,統一布丁冰沙 (大杯/冰),170.7,27,否,0
全家 Let's Cafe,經典拿鐵（冰／大杯）,174,11,是,86,,路易莎,黑糖風味拿鐵 (大/熱),298.1,32.9,是,381,,星巴克,卡布奇諾,257,22,是,195,,茶湯會,養樂多綠茶,315,73,是,201-500,,全家 Let's Tea,能量仙女紅 (葡萄風味)(冰/特大杯),271,64,是,180,,City Cafe,美式咖啡(特大/熱),25.9,0,是,466.3,,CITY PEARL,HERSHEY'S 巧克力冰沙 (大杯/冰),366.8,52,是,11.6
全家 Let's Cafe,經典拿鐵（冰／特大杯）,233,15,是,160,,路易莎,抹茶風味拿鐵 (大/冰),359.4,43.1,是,524,,星巴克,摩卡,710,76,是,241,,茶湯會,養樂多檸檬,334,77,否,0,,全家 Let's Tea,能量仙女紅 (野莓風味)(冰/特大杯),132,29,是,180,,City Cafe,美式咖啡(中杯/冰),15.4,0,是,240.2,,CITY PEARL,楊枝甘露 (大杯/冰),233.9,52.9,否,0
全家 Let's Cafe,特濃拿鐵（熱／大杯）,228,15,是,198,,路易莎,抹茶風味拿鐵 (大/熱),327.3,30.9,是,524,,星巴克,特選馥郁那堤,345,25,是,349,,茶湯會,脆梅綠茶,250,56,是,201-500,,全家 Let's Tea,白奶茶 (熱/大杯),142,11,是,169,,City Cafe,美式咖啡(大杯/冰),21.6,0,是,345.3,,CITY PEARL,懷舊鳳梨冰 (大杯/冰),262.3,60.6,否,0
全家 Let's Cafe,特濃拿鐵（熱／特大杯）,270,17,是,213,,路易莎,義式摩卡 (大/冰),368,48.3,是,381,,星巴克,馥列白,361,31,是,325,,茶湯會,脆梅檸檬,269,60,否,0,,全家 Let's Tea,白烏龍醇奶茶 (熱/大杯),143,10,是,179,,City Cafe,美式咖啡(特大/冰),28.9,0,是,492,,CITY PEARL,CITY 蜜桃果粒冰茶 (特大/冰),300.7,59.4,是,124.9
全家 Let's Cafe,特濃拿鐵（冰／大杯）,166,12,是,108,,路易莎,義式摩卡 (大/熱),289.9,28.6,是,381,,星巴克,可可瑪奇朵,499,66,是,195,,茶湯會,蜂蜜綠茶,229,50,是,201-500,,全家 Let's Tea,紅奶茶 (熱/大杯),142,11,是,226,,City Cafe,拿鐵咖啡(中杯/熱),203,14.2,是,172.2,,CITY PEARL,蜜香伯爵拿鐵 (大杯/冰),275.1,33.5,是,61.3
全家 Let's Cafe,特濃拿鐵（冰／特大杯）,215,14,是,148,,路易莎,焦糖瑪奇朵 (大/冰),371.8,50.2,是,381,,星巴克,草莓巴西莓檸檬風味星沁爽,246,61,是,61,,茶湯會,蜂蜜檸檬,248,54,否,0,,全家 Let's Tea,鮮露醇奶茶 (熱/大杯),143,10,是,228,,City Cafe,拿鐵咖啡(大杯/熱),254.4,16.7,是,226.2,,CITY PEARL,蜜香伯爵拿鐵 (大杯/熱),370.7,37.9,是,96.4
全家 Let's Cafe,Cona's 草莓白巧可可（熱／中杯）,289,31,否,0,,路易莎,焦糖瑪奇朵 (大/熱),275.6,28.4,是,381,,星巴克,草莓巴西莓椰奶風味星沁爽,403,45,是,61,,,,,,,,,全家 Let's Tea,慢煮焦糖白奶茶 (熱/大杯),196,24,是,186,,City Cafe,拿鐵咖啡(特大/熱),325.2,22.3,是,316.2,,CITY PEARL,珍珠焙火烏龍奶茶 (特大/冰),484,53.4,是,80.9
全家 Let's Cafe,Cona's 草莓白巧可可（冰／大杯）,220,26,否,0,,路易莎,路易莎特調咖啡 (大/冰),375,44.7,是,381,,星巴克,芒果火龍果檸檬星沁爽,273,71,是,67,,,,,,,,,全家 Let's Tea,慢煮焦糖紅奶茶 (熱/大杯),196,24,是,243,,City Cafe,拿鐵咖啡(中杯/冰),170.8,10.7,是,188.5,,CITY PEARL,珍珠焙火烏龍奶茶 (大杯/熱),484,53.4,是,80.9
全家 Let's Cafe,經典巧克力飲（熱／中杯）,445,54,是,25,,路易莎,路易莎特調咖啡 (大/熱),315,29.7,是,381,,星巴克,芒果火龍果椰奶星沁爽,252,55,是,67,,,,,,,,,全家 Let's Tea,豆乳紅茶 (熱/大杯),293,34,是,147,,City Cafe,拿鐵咖啡(大杯/冰),188.1,13.1,是,241.8,,CITY PEARL,CITY 水果冰沙多肉葡萄 (大杯/冰),221.9,55,否,0
